SN,,,,,,,,,,,,,,,,,,,,,,ALL,FUTURE,PAST,N-1,N-2,N-3,NAs
101,Document,Table,chair,air,fair,bus,test,west,best,vest,suit,pants,button,mutton,lamb,cranberry,molasses,margarine,butter,biscuit,ham,,,,,,,0
,Table,1,0.61,0.07,0.09,0,0.05,0.03,0.14,0.14,0.14,0.12,0.12,0.14,0.16,0.26,0.18,0.05,0.27,0.3,0.19,0.161052632,0.161052632,,0.287368421,0.201666667,0.164705882,
,chair,0.61,1,0.06,0.12,0.07,0.03,0.05,0.15,0.33,0.33,0.32,0.34,0.11,0.16,0.1,0.14,0.04,0.22,0.31,0.14,0.191052632,0.167777778,0.61,,,,
,air,0.07,0.06,1,0.13,0.04,0.05,0.05,0.09,0.05,0.15,0.08,0.1,0.07,0.06,0,0.05,0.02,0.03,0.08,0.04,0.064210526,0.064117647,0.065,,,,
,fair,0.09,0.12,0.13,1,0.13,0.14,0.09,0.45,0.17,0.35,0.22,0.1,0.22,0.23,0.13,0.26,0.03,0.11,0.09,0.14,0.168421053,0.17875,0.113333333,,,,
,bus,0,0.07,0.04,0.13,1,0.05,-0.01,0.16,0.09,0.24,0.34,0.19,0.06,0.06,0.08,0.11,0.03,0.08,0,0.26,0.104210526,0.116,0.06,,,,
,test,0.05,0.03,0.05,0.14,0.05,1,0.01,0.12,0,0.05,-0.01,0.05,0.02,0.06,-0.03,0.01,0.07,0.03,0.04,0,0.038947368,0.03,0.064,,,,
,west,0.03,0.05,0.05,0.09,-0.01,0.01,1,0.11,0.01,0.03,0,0,0.02,-0.01,0.02,0.13,0.01,0.02,0.11,0.06,0.038421053,0.039230769,0.036666667,,,,
,best,0.14,0.15,0.09,0.45,0.16,0.12,0.11,1,0.26,0.31,0.2,0.15,0.13,0.28,0.19,0.2,0.12,0.19,0.12,0.15,0.185263158,0.191666667,0.174285714,,,,
,vest,0.14,0.33,0.05,0.17,0.09,0,0.01,0.26,1,0.5,0.54,0.26,0.15,0.17,0.06,0.08,-0.03,0.05,0.11,0.24,0.167368421,0.193636364,0.13125,,,,
,suit,0.14,0.33,0.15,0.35,0.24,0.05,0.03,0.31,0.5,1,0.6,0.35,0.22,0.17,0.06,0.11,-0.02,0.02,0.07,0.07,0.197368421,0.165,0.233333333,,,,
,pants,0.12,0.32,0.08,0.22,0.34,-0.01,0,0.2,0.54,0.6,1,0.36,0.24,0.19,0.12,0.08,-0.04,0.03,0.1,0.18,0.193157895,0.14,0.241,,,,
,button,0.12,0.34,0.1,0.1,0.19,0.05,0,0.15,0.26,0.35,0.36,1,-0.05,0.02,0.04,0.05,-0.05,0.05,0.15,0.01,0.117894737,0.0275,0.183636364,,,,
,mutton,0.14,0.11,0.07,0.22,0.06,0.02,0.02,0.13,0.15,0.22,0.24,-0.05,1,0.41,0.23,0.12,0.21,0.28,0.24,0.29,0.163684211,0.254285714,0.110833333,,,,
,lamb,0.16,0.16,0.06,0.23,0.06,0.06,-0.01,0.28,0.17,0.17,0.19,0.02,0.41,1,0.19,0.22,0.32,0.39,0.29,0.37,0.196842105,0.296666667,0.150769231,,,,
,cranberry,0.26,0.1,0,0.13,0.08,-0.03,0.02,0.19,0.06,0.06,0.12,0.04,0.23,0.19,1,0.34,0.23,0.43,0.28,0.23,0.155789474,0.302,0.103571429,,,,
,molasses,0.18,0.14,0.05,0.26,0.11,0.01,0.13,0.2,0.08,0.11,0.08,0.05,0.12,0.22,0.34,1,0.29,0.43,0.29,0.25,0.175789474,0.315,0.138666667,,,,
