SN,,,,,,,,,,,,,,,,,,,,,,ALL,FUTURE,PAST,N-1,N-2,N-3,,
1,Document,toaster,bread,sandwich,cafe,coffee,Starbucks,green straws,water,ice,pool,beach,Wilmington,blue sky,kite,field,football,practice,stand,band,water,,,,,,,2,
,toaster,1,0.21,0.17,0.1,0.17,N/A,0.04,0.07,0.07,0,-0.04,-0.04,0.02,0.08,-0.02,0.01,0,0.08,0,0.07,0.055,0.055,,0.231176471,0.16125,0.148,,
,bread,0.21,1,0.56,0.3,0.38,N/A,0.16,0.11,0.1,0.07,0.01,0.02,0.08,0,0.09,0.04,0.02,0.15,0.04,0.11,0.136111111,0.131764706,0.21,,,,,
,sandwich,0.17,0.56,1,0.32,0.41,N/A,0.15,0.08,0.1,0.15,0.1,-0.01,0.12,-0.04,0.13,0.11,0.07,0.21,0.1,0.08,0.156111111,0.13,0.365,,,,,
,cafe,0.1,0.3,0.32,1,0.5,N/A,0.16,0.11,0.05,0.16,0.19,0.04,0.18,-0.04,0.11,0.21,0.03,0.29,0.25,0.11,0.170555556,0.156666667,0.24,,,,,
,coffee,0.17,0.38,0.41,0.5,1,N/A,0.17,0.13,0.07,0.16,0.09,-0.01,0.18,-0.1,0.02,0.09,0.07,0.25,0.08,0.13,0.155,0.095,0.365,,,,,
,Starbucks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
,green straws,0.04,0.16,0.15,0.16,0.17,N/A,1,0.2,0.06,0.28,0.19,-0.01,0.51,0.06,0.1,0.03,0.05,0.17,0.21,0.2,0.151666667,0.157692308,0.136,,,,,
,water,0.07,0.11,0.08,0.11,0.13,N/A,0.2,1,0.22,0.44,0.27,0.02,0.15,-0.01,0.05,0.02,0.06,0.15,0.08,1,0.175,0.204166667,0.116666667,,,,,
,ice,0.07,0.1,0.1,0.05,0.07,N/A,0.06,0.22,1,0.03,-0.02,0.03,0.09,-0.02,0.01,0.04,0.04,0.14,0.06,0.22,0.071666667,0.056363636,0.095714286,,,,,
,pool,0,0.07,0.15,0.16,0.16,N/A,0.28,0.44,0.03,1,0.29,0.03,0.25,0.09,0.06,0.12,0.13,0.26,0.16,0.44,0.173333333,0.183,0.16125,,,,,
